Skills,Experience_Level,Description,Budget_Project
"Project Management: change management, scrum, resource allocation, project timelines; General: project management",Entry Level,"Entry Level Project Management professional with experience in change management, scrum, resource allocation, project timelines.",$346-$694
"Database Management: database programming, database management; General: git, project management",Expert,"Expert Database Management professional with experience in database programming, database management.",$4107-$7248
"Graphic & Visual Design: adobe premiere pro, photo editing, typography, 2d illustration; General: git",Expert,"Expert Graphic & Visual Design professional with experience in adobe premiere pro, photo editing, typography, 2d illustration.",$2302-$5915
"DevOps: ci/cd, jenkins; General: ",Entry Level,"Entry Level DevOps professional with experience in ci/cd, jenkins.",$209-$845
"Translation & Languages: english to hindi translation, german, english to romanian translation; General: project management",Entry Level,"Entry Level Translation & Languages professional with experience in english to hindi translation, german, english to romanian translation.",$266-$891
"Cybersecurity: network security, penetration testing, information security consultation, information security; General: ",Expert,"Expert Cybersecurity professional with experience in network security, penetration testing, information security consultation, information security.",$2982-$8464
"Graphic & Visual Design: image tracing, adobe illustrator, visual art; General: project management",Expert,"Expert Graphic & Visual Design professional with experience in image tracing, adobe illustrator, visual art.",$2074-$9185
"Graphic & Visual Design: 3d animation, freestyle drawing, 3d texturing; General: agile",Entry Level,"Entry Level Graphic & Visual Design professional with experience in 3d animation, freestyle drawing, 3d texturing.",$187-$925
"Cybersecurity: cyber threat intelligence, source code scanning; General: sql, agile",Entry Level,"Entry Level Cybersecurity professional with experience in cyber threat intelligence, source code scanning.",$272-$988
"Database Management: nosql database, sql, microsoft sql server administration; General: agile, api",Intermediate,"Intermediate Database Management professional with experience in nosql database, sql, microsoft sql server administration.",$787-$2528
